prog,down_samp_thres,seed,ex.sig,gt.sig,sim
mSigHdp,1k,200437,hdp.1,SBS1,0.999
mSigHdp,1k,200437,hdp.2,SBS12,0.993
mSigHdp,1k,200437,hdp.3,SBS2,0.999
mSigHdp,1k,200437,hdp.4,SBS40,0.994
mSigHdp,1k,200437,hdp.5,SBS13,1
mSigHdp,1k,200437,hdp.6,SBS5,1
mSigHdp,1k,200437,hdp.7,SBS17b,0.999
mSigHdp,1k,200437,hdp.8,SBS17a,0.999
mSigHdp,1k,200437,hdp.9,SBS28,0.987
mSigHdp,1k,200437,hdp.10,SBS34,0.989
mSigHdp,1k,200437,hdp.11,SBS36,0.998
mSigHdp,1k,200437,hdp.13,SBS4,1
mSigHdp,1k,200437,hdp.14,SBS9,0.996
mSigHdp,1k,200437,hdp.15,SBS8,0.991
mSigHdp,1k,200437,hdp.16,SBS44,0.995
mSigHdp,1k,200437,hdp.17,SBS7c,0.998
mSigHdp,1k,200437,hdp.18,SBS37,0.996
mSigHdp,1k,200437,hdp.19,SBS22,0.99
mSigHdp,1k,200437,hdp.20,SBS3,0.995
mSigHdp,1k,200437,hdp.21,SBS7d,0.999
mSigHdp,1k,200437,hdp.22,SBS18,0.993
mSigHdp,1k,200437,hdp.23,SBS41,0.993
mSigHdp,1k,200437,hdp.25,SBS29,0.988
mSigHdp,1k,200437,hdp.26,SBS30,0.961
mSigHdp,1k,200437,hdp.27,SBS7b,0.974
mSigHdp,1k,310111,hdp.1,SBS1,1
mSigHdp,1k,310111,hdp.2,SBS12,0.993
mSigHdp,1k,310111,hdp.3,SBS2,0.999
mSigHdp,1k,310111,hdp.4,SBS40,0.995
mSigHdp,1k,310111,hdp.5,SBS13,1
mSigHdp,1k,310111,hdp.6,SBS17a,0.999
mSigHdp,1k,310111,hdp.7,SBS5,1
mSigHdp,1k,310111,hdp.8,SBS17b,0.999
mSigHdp,1k,310111,hdp.9,SBS7d,0.999
mSigHdp,1k,310111,hdp.10,SBS22,0.99
mSigHdp,1k,310111,hdp.11,SBS18,0.993
mSigHdp,1k,310111,hdp.12,SBS9,0.996
mSigHdp,1k,310111,hdp.13,SBS34,0.989
mSigHdp,1k,310111,hdp.14,SBS4,1
