Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP,FP.sigs,FN.sigs
SBS_set2,Realistic,mSigHdp_ds_10k,seed.1076753,0.8571428571428571,0.75,0.9941526814199063,2.6012955385627636,28,8,4,,
SBS_set2,Realistic,mSigHdp_ds_10k,seed.200437,0.896551724137931,0.8125,0.9927036647109239,2.701755388848855,29,6,3,,
SBS_set2,Realistic,mSigHdp_ds_10k,seed.310111,0.8666666666666667,0.8125,0.9930630774957844,2.672229744162451,30,6,4,,
SBS_set2,Realistic,mSigHdp_ds_10k,seed.528401,0.8620689655172413,0.78125,0.9927667983930151,2.6360857639102564,29,7,4,,
SBS_set2,Realistic,mSigHdp_ds_1k,seed.1076753,0.8928571428571429,0.78125,0.993628902482487,2.66773604533963,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_1k,seed.145879,0.8888888888888888,0.75,0.994137385498832,2.6330262743877206,27,8,3,,
SBS_set2,Realistic,mSigHdp_ds_1k,seed.200437,0.8928571428571429,0.78125,0.993057289739249,2.6671644325963917,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_1k,seed.310111,0.9259259259259259,0.78125,0.9936048364215302,2.7007807623474562,27,7,2,,
SBS_set2,Realistic,mSigHdp_ds_1k,seed.528401,0.8928571428571429,0.78125,0.9935212837445888,2.6676284266017314,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_3k,seed.1076753,0.8928571428571429,0.78125,0.9917360563325285,2.665843199189671,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_3k,seed.145879,0.9259259259259259,0.78125,0.9926579709159913,2.699833896841917,27,7,2,,
SBS_set2,Realistic,mSigHdp_ds_3k,seed.200437,0.8620689655172413,0.78125,0.9922501216158208,2.635569087133062,29,7,4,,
SBS_set2,Realistic,mSigHdp_ds_3k,seed.310111,0.9230769230769231,0.75,0.992382695936197,2.66545961901312,26,8,2,,
SBS_set2,Realistic,mSigHdp_ds_3k,seed.528401,0.8928571428571429,0.78125,0.9917026040289897,2.6658097468861324,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_5k,seed.1076753,0.9230769230769231,0.75,0.9917999888377317,2.664876911914655,26,8,2,,
SBS_set2,Realistic,mSigHdp_ds_5k,seed.145879,0.8666666666666667,0.8125,0.9933942767113593,2.672560943378026,30,6,4,,
SBS_set2,Realistic,mSigHdp_ds_5k,seed.200437,0.8928571428571429,0.78125,0.9946362504266497,2.6687433932837923,28,7,3,,
SBS_set2,Realistic,mSigHdp_ds_5k,seed.310111,0.8620689655172413,0.78125,0.9940753526607478,2.6373943181779893,29,7,4,,
SBS_set2,Realistic,mSigHdp_ds_5k,seed.528401,0.8620689655172413,0.78125,0.994890228634678,2.6382091941519192,29,7,4,,
